RECORD_TYPE:INVOICE_LINES,INVOICE_ID,LINE_NUMBER,LINE_TYPE,LINE_DESCRIPTION,ITEM_ID,CHARGE_DATE,MATCH_TYPE,CURRENCY_AMOUNT,AMOUNT,UNIT_PRICE,QTY,UOM_NAME,CANCEL_FLAG,MATCHED_PO_ID,MATCHED_PO_LINE_ID,MATCHED_PO_RELEASE_ID,MATCHED_PO_SHIPMENT_ID,MATCHED_PO_ACCOUNTING_ID,MATCHED_RECEIPT_LINE_ID,IS_ASSET,GEOGRAPHY_ID,PROJECT_ID
INVOICE_LINES,152927,1,ITEM,,,5-Jul-13,NONE,900.4,,,,,N,,,,,,,N,,
INVOICE_LINES,152927,2,ITEM,,,5-Jul-13,NONE,900.4,,,,,N,,,,,,,N,,
INVOICE_LINES,152927,3,ITEM,,,5-Jul-13,NONE,900.4,,,,,N,,,,,,,N,,
INVOICE_LINES,152927,4,ITEM,,,5-Jul-13,NONE,900.4,,,,,N,,,,,,,N,,
INVOICE_LINES,152927,5,ITEM,,,5-Jul-13,NONE,900.4,,,,,N,,,,,,,N,,
INVOICE_LINES,152927,6,ITEM,,,5-Jul-13,NONE,900.4,,,,,N,,,,,,,N,,
INVOICE_LINES,152927,7,ITEM,,,5-Jul-13,NONE,900.4,,,,,N,,,,,,,N,,
INVOICE_LINES,152927,8,ITEM,,,5-Jul-13,NONE,900.4,,,,,N,,,,,,,N,,
INVOICE_LINES,152927,9,ITEM,,,5-Jul-13,NONE,900.4,,,,,N,,,,,,,N,,
INVOICE_LINES,152927,10,ITEM,,,5-Jul-13,NONE,900.4,,,,,N,,,,,,,N,,
INVOICE_LINES,152927,11,ITEM,,,5-Jul-13,NONE,900.4,,,,,N,,,,,,,N,,
INVOICE_LINES,152927,12,ITEM,,,5-Jul-13,NONE,900.4,,,,,N,,,,,,,N,,
INVOICE_LINES,152927,13,ITEM,,,5-Jul-13,NONE,900.4,,,,,N,,,,,,,N,,
INVOICE_LINES,152927,14,ITEM,,,5-Jul-13,NONE,900.4,,,,,N,,,,,,,N,,
INVOICE_LINES,152927,15,ITEM,,,5-Jul-13,NONE,900.4,,,,,N,,,,,,,N,,
INVOICE_LINES,152927,16,ITEM,,,5-Jul-13,NONE,900.4,,,,,N,,,,,,,N,,
INVOICE_LINES,152927,17,ITEM,,,5-Jul-13,NONE,900.4,,,,,N,,,,,,,N,,
INVOICE_LINES,152927,18,ITEM,,,5-Jul-13,NONE,900.4,,,,,N,,,,,,,N,,
INVOICE_LINES,152927,19,ITEM,,,5-Jul-13,NONE,900.4,,,,,N,,,,,,,N,,
INVOICE_LINES,152927,20,ITEM,,,5-Jul-13,NONE,900.4,,,,,N,,,,,,,N,,
INVOICE_LINES,152927,21,ITEM,,,5-Jul-13,NONE,900.4,,,,,N,,,,,,,N,,
INVOICE_LINES,152927,22,ITEM,,,5-Jul-13,NONE,1350.6,,,,,N,,,,,,,N,,
INVOICE_LINES,152927,23,ITEM,,,5-Jul-13,NONE,900.4,,,,,N,,,,,,,N,,
INVOICE_LINES,152927,24,ITEM,,,5-Jul-13,NONE,675.3,,,,,N,,,,,,,N,,
INVOICE_LINES,152927,25,ITEM,,,5-Jul-13,NONE,675.3,,,,,N,,,,,,,N,,
INVOICE_LINES,154112,1,ITEM,Dell Monitor,,14-Jul-13,PO,483,,483,1,Each,N,80038,100304,,191327,196558,,Y,,
INVOICE_LINES,153852,1,ITEM,Lite Desktop Overlay,11933,12-Jul-13,PO,1393.65,,1.71,815,Each,N,32845,38349,90570,189324,194531,,Y,,
INVOICE_LINES,153869,1,ITEM,RAM,61441,12-Jul-13,PO,39120,,24,1630,Each,N,49568,60570,90576,189352,194559,,Y,,
INVOICE_LINES,153839,1,ITEM,"Digital Camera, Deluxe",12021,12-Jul-13,PO,160266.75,,360.15,445,Each,N,32986,38534,90034,188377,193584,,Y,,
