"PO_BLANKET_ID","PO_RELEASE_ID","LINE_ID","LINE_TYPE","ITEM_ID","CATEGORY_ID","LINE_DESCRIPTION","CANCEL_FLAG","UOM","AMOUNT","QTY","GEOGRAPHY_ID","CONTRACT_ID","CONTRACT_LINE_ID"
3595,36231,71513,"Goods",241,31,"HARD DRIVE 1.2 GB","N","Each",64240,365,414,3595,3515
3595,30480,61376,"Goods",241,31,"HARD DRIVE 1.2 GB","N","Each",22000,125,414,3595,3515
3595,9710,27677,"Goods",241,31,"HARD DRIVE 1.2 GB","Y","Each",36784,209,414,3595,3515
3595,8765,25624,"Goods",241,31,"HARD DRIVE 1.2 GB","N","Each",36784,209,414,3595,3515
3595,27130,56520,"Goods",241,31,"HARD DRIVE 1.2 GB","N","Each",20592,117,414,3595,3515
3595,11644,30917,"Goods",241,31,"HARD DRIVE 1.2 GB","N","Each",14256,81,414,3595,3515
3595,38115,74594,"Goods",241,31,"HARD DRIVE 1.2 GB","N","Each",90640,515,414,3595,3515
3595,38115,74593,"Goods",241,31,"HARD DRIVE 1.2 GB","N","Each",10032,57,414,3595,3515
3595,38012,74477,"Goods",241,31,"HARD DRIVE 1.2 GB","N","Each",352,2,414,3595,3515
3595,37734,74028,"Goods",241,31,"HARD DRIVE 1.2 GB","N","Each",71632,407,414,3595,3515
3595,37358,73467,"Goods",241,31,"HARD DRIVE 1.2 GB","N","Each",65472,372,414,3595,3515
3595,37015,72919,"Goods",241,31,"HARD DRIVE 1.2 GB","N","Each",47168,268,414,3595,3515
3595,36570,72013,"Goods",241,31,"HARD DRIVE 1.2 GB","N","Each",16016,91,414,3595,3515
3595,36491,71902,"Goods",241,31,"HARD DRIVE 1.2 GB","N","Each",6512,37,414,3595,3515
3595,35335,70037,"Goods",241,31,"HARD DRIVE 1.2 GB","N","Each",40480,230,414,3595,3515
3595,35468,70239,"Goods",241,31,"HARD DRIVE 1.2 GB","N","Each",75856,431,414,3595,3515
3595,36231,71512,"Goods",241,31,"HARD DRIVE 1.2 GB","N","Each",60544,344,414,3595,3515
3595,35874,70999,"Goods",241,31,"HARD DRIVE 1.2 GB","N","Each",58960,335,414,3595,3515
3595,36123,71393,"Goods",241,31,"HARD DRIVE 1.2 GB","N","Each",49632,282,414,3595,3515
3595,36019,71268,"Goods",241,31,"HARD DRIVE 1.2 GB","N","Each",1056,6,414,3595,3515
3595,36028,71283,"Goods",241,31,"HARD DRIVE 1.2 GB","N","Each",1056,6,414,3595,3515
3595,35688,70628,"Goods",241,31,"HARD DRIVE 1.2 GB","N","Each",24112,137,414,3595,3515
3595,35599,70442,"Goods",241,31,"HARD DRIVE 1.2 GB","N","Each",28160,160,414,3595,3515
3595,34288,68078,"Goods",241,31,"HARD DRIVE 1.2 GB","N","Each",25520,145,414,3595,3515
3595,34477,68401,"Goods",241,31,"HARD DRIVE 1.2 GB","N","Each",44880,255,414,3595,3515
3595,34938,69077,"Goods",241,31,"HARD DRIVE 1.2 GB","N","Each",14080,80,414,3595,3515
3595,34790,68918,"Goods",241,31,"HARD DRIVE 1.2 GB","N","Each",16720,95,414,3595,3515
3595,35060,69331,"Goods",241,31,"HARD DRIVE 1.2 GB","N","Each",10560,60,414,3595,3515
3595,34553,68507,"Goods",241,31,"HARD DRIVE 1.2 GB","N","Each",68640,390,414,3595,3515
3595,34477,68402,"Goods",241,31,"HARD DRIVE 1.2 GB","N","Each",37312,212,414,3595,3515
3595,34629,68642,"Goods",241,31,"HARD DRIVE 1.2 GB","N","Each",107360,610,414,3595,3515
3595,34629,68641,"Goods",241,31,"HARD DRIVE 1.2 GB","N","Each",14432,82,414,3595,3515
3595,34731,68818,"Goods",241,31,"HARD DRIVE 1.2 GB","N","Each",19360,110,414,3595,3515
3595,34180,67919,"Goods",241,31,"HARD DRIVE 1.2 GB","N","Each",84832,482,414,3595,3515
3595,34060,67707,"Goods",241,31,"HARD DRIVE 1.2 GB","N","Each",22880,130,414,3595,3515
3595,33664,66895,"Goods",241,31,"HARD DRIVE 1.2 GB","N","Each",137808,783,414,3595,3515
3595,33747,67016,"Goods",241,31,"HARD DRIVE 1.2 GB","N","Each",43824,249,414,3595,3515
3595,33897,67305,"Goods",241,31,"HARD DRIVE 1.2 GB","N","Each",13200,75,414,3595,3515
3595,32746,65437,"Goods",241,31,"HARD DRIVE 1.2 GB","N","Each",37840,215,414,3595,3515
