RECORD_TYPE:PURCHASE_ORDER_ACCOUNTING,PO_ACCOUNTING_LINE_ID,PO_SHIPMENT_ID,ACCOUNTING_LINE_NUM,COA_ID,CHARGE_ACCOUNT_ID,QTY,CHARGE_AMOUNT,REQUISITION_REF,DELIVER_TO_GEOGRAPHY_ID,DELIVER_TO_PERSON_ID,EXCHANGE_RATE_DATE,EXCHANGE_RATE,DESTINATION_TYPE,PROJECT_ID,EXPENDITURE_TYPE
PURCHASE_ORDER_ACCOUNTING,28834,27676,1,1,13401,161,28336,20631,414,57,,,INVENTORY,,
PURCHASE_ORDER_ACCOUNTING,28835,27677,1,1,13401,209,0,,414,57,,,INVENTORY,,
PURCHASE_ORDER_ACCOUNTING,28836,27678,1,1,13401,201,0,,414,57,,,INVENTORY,,
PURCHASE_ORDER_ACCOUNTING,28969,27815,1,1,13401,108,0,,414,57,,,INVENTORY,,
PURCHASE_ORDER_ACCOUNTING,20845,19770,1,1,13401,290,51040,13998,414,57,,,INVENTORY,,
PURCHASE_ORDER_ACCOUNTING,20636,19561,1,1,13401,130,22880,13832,414,57,,,INVENTORY,,
PURCHASE_ORDER_ACCOUNTING,20637,19562,1,1,13401,475,83600,13833,414,57,,,INVENTORY,,
PURCHASE_ORDER_ACCOUNTING,20988,19913,1,1,13401,39,6864,14110,414,57,,,INVENTORY,,
PURCHASE_ORDER_ACCOUNTING,21569,20474,1,1,13401,121,21296,14605,414,57,,,INVENTORY,,
PURCHASE_ORDER_ACCOUNTING,21974,20879,1,1,13401,136,23936,14944,414,57,,,INVENTORY,,
PURCHASE_ORDER_ACCOUNTING,21975,20880,1,1,13401,200,35200,14945,414,57,,,INVENTORY,,
PURCHASE_ORDER_ACCOUNTING,21976,20881,1,1,13401,210,36960,14946,414,57,,,INVENTORY,,
PURCHASE_ORDER_ACCOUNTING,21717,20622,1,1,13401,200,35200,14714,414,57,,,INVENTORY,,
PURCHASE_ORDER_ACCOUNTING,22036,20941,1,1,13401,54,9504,14961,414,57,,,INVENTORY,,
PURCHASE_ORDER_ACCOUNTING,22037,20942,1,1,13401,282,49632,14962,414,57,,,INVENTORY,,
PURCHASE_ORDER_ACCOUNTING,22038,20943,1,1,13401,210,36960,14963,414,57,,,INVENTORY,,
PURCHASE_ORDER_ACCOUNTING,22156,21061,1,1,13401,69,12144,15074,414,57,,,INVENTORY,,
PURCHASE_ORDER_ACCOUNTING,22157,21062,1,1,13401,113,19888,15075,414,57,,,INVENTORY,,
PURCHASE_ORDER_ACCOUNTING,29244,28086,1,1,13401,42,0,,414,57,,,INVENTORY,,
PURCHASE_ORDER_ACCOUNTING,28572,27414,1,1,13401,242,42592,20351,414,57,,,INVENTORY,,
PURCHASE_ORDER_ACCOUNTING,22525,21427,1,1,13401,161,28336,15311,414,57,,,INVENTORY,,
PURCHASE_ORDER_ACCOUNTING,22815,21697,1,1,13401,210,36960,15571,414,57,,,INVENTORY,,
