oods,24308,2757,DDR400 DIMM Memory - 184 Pin,N,Each,15000,100,,,,
PURCHASE_ORDER_LINES,93057,149528,Goods,,1,Dell Desktop,N,Each,3160,1,,,,
PURCHASE_ORDER_LINES,97627,156775,Goods,5730,1354,Cleaning and Maintenance - Weekly,N,Week,559000,21.5,,,,
PURCHASE_ORDER_LINES,97732,156922,Goods,73,36,Mobile phone - expensable asset (tracked in ASSETS as an EXPENSED asset),N,Each,25480,52,,,,
PURCHASE_ORDER_LINES,98014,157309,Goods,5734,30,"18"" LCD Flat Panel Monitor",N,Each,56940,60,,,,
PURCHASE_ORDER_LINES,98096,157414,Goods,5560,1353,Legal Services,N,HRS,106200,236,,,,
PURCHASE_ORDER_LINES,115688,179889,Goods,,1,Company Car,N,Each,36706,1,,,,
PURCHASE_ORDER_LINES,115747,179968,Goods,,1,Company Car,N,Each,37962,1,,,,
PURCHASE_ORDER_LINES,88593,142843,Goods,,36,"Sharpie 30174 Permanent Marker Set of 4 (Red, Blue, Green, Black)",N,EA,15.95,5,81215,101977,,30174
PURCHASE_ORDER_LINES,88633,142883,Goods,,1,Toshiba Laptop,N,Each,2481,1,,,,
PURCHASE_ORDER_LINES,89438,143990,Goods,24308,2757,DDR400 DIMM Memory - 184 Pin,N,Each,15000,100,,,,
PURCHASE_ORDER_LINES,89496,144048,Goods,75,36,Paper - requires 2-way match office supply item,N,Each,26800,536,,,,
PURCHASE_ORDER_LINES,92597,148843,Goods,75,36,Paper - requires 2-way match office supply item,N,Each,27100,542,,,,
PURCHASE_ORDER_LINES,94224,151385,Goods,5372,1353,Advertising Services,N,HRS,64400,161,,,,
PURCHASE_ORDER_LINES,94517,151842,Goods,24308,2757,DDR400 DIMM Memory - 184 Pin,N,Each,15000,100,,,,
PURCHASE_ORDER_LINES,94824,152340,Goods,75,36,Paper - requires 2-way match office supply item,N,Each,14000,280,,,,
PURCHASE_ORDER_LINES,94841,152343,Goods,24308,2757,DDR400 DIMM Memory - 184 Pin,N,Each,15000,100,,,,
PURCHASE_ORDER_LINES,81059,101764,Goods,,1,Toshiba Laptop,N,Each,2524,1,,,,
PURCHASE_ORDER_LINES,81901,105024,Goods,,1,Software,N,EA,895,1,,,,
PURCHASE_ORDER_LINES,83604,133263,Goods,,1,Toshiba Laptop,N,Each,2580,1,,,,
PURCHASE_ORDER_LINES,84554,135919,Goods,,1,File Folders,N,EA,20,20,81215,101980,,FF100
PURCHASE_ORDER_LINES,81919,105042,Fixed Price Services,,3117,Conference Room Remodel,N,Currency,10000,1,,,,
PURCHASE_ORDER_LINES,82046,105180,Goods,5730,1354,Cleaning and Maintenance - Weekly,N,Week,507000,19.5,,,,
