,CSI062008,N,Paper -  office supply item,,Immediate,10001,20-Jun-15,20-Jun-15,USD,,,,16600.56,USD,16600.56,EXTERNAL,STANDARD,EXTERNAL,N,,STANDARD,
INVOICES,225937,21-Oct-15,415,1087,TT070708,N,,,45 Net (terms date + 45),10003,7-Jul-15,7-Jul-15,USD,,,,392987.04,USD,392987.04,EXTERNAL,STANDARD,EXTERNAL,N,,STANDARD,
INVOICES,225958,21-Oct-15,557,1233,ST090908,N,Weekly Warehousing,,45 Net (terms date + 45),10003,9-Sep-15,9-Sep-15,USD,,,,499100,USD,499100,EXTERNAL,STANDARD,EXTERNAL,N,,STANDARD,
INVOICES,225962,21-Oct-15,415,1087,TT092908,N,Legal Services,,45 Net (terms date + 45),10003,29-Sep-15,29-Sep-15,USD,,,,122550.78,USD,122550.78,EXTERNAL,STANDARD,EXTERNAL,N,,STANDARD,
INVOICES,227445,30-Oct-15,147,259,ERS-12249-177390,N,Receipt Invoice automatically created on 02-SEP-08,,45 Net (terms date + 45),10003,2-Sep-15,2-Sep-15,USD,2-Sep-08,1,,503309.63,USD,503309.63,ERS,STANDARD,ERS,N,,STANDARD,2/09/15 0:00
INVOICES,227515,31-Oct-15,21,41,ERS-12253-177438,N,Receipt Invoice automatically created on 02-OCT-08,,45 Net (terms date + 45),10003,2-Oct-15,2-Oct-15,USD,2-Oct-08,1,,4585934.96,USD,4585934.96,ERS,STANDARD,ERS,N,,STANDARD,2/10/15 0:00
INVOICES,227442,30-Oct-15,11,15,ERS-12247-177387,N,Receipt Invoice automatically created on 02-SEP-08,,45 Net (terms date + 45),10003,2-Sep-15,2-Sep-15,USD,2-Sep-08,1,,1001728,USD,1001728,ERS,STANDARD,ERS,N,,EDI,2/09/15 0:00
INVOICES,227715,3-Nov-15,4,4,OPS200839388,N,,,Immediate,10001,1-Nov-15,1-Nov-15,USD,,,,59544.8,USD,59544.8,EXTERNAL,STANDARD,EXTERNAL,N,,STANDARD,
INVOICES,228834,10-Nov-15,415,1087,ERS-8485-178597,N,Receipt Invoice automatically created on 10-NOV-08,,45 Net (terms date + 45),10003,10-Nov-15,10-Nov-15,USD,10-Nov-08,1,,79367.76,USD,79367.76,ERS,STANDARD,ERS,N,,STANDARD,10/11/15 0:00
INVOICES,228836,10-Nov-15,209,330,OPS200839OPS2008396,N,,,Immediate,10001,9-Nov-15,9-Nov-15,USD,,,,149708.3,USD,149708.3,EXTERNAL,STANDARD,EXTERNAL,N,,STANDARD,
INVOICES,229634,13-Nov-15,415,1087,ERS-8488-179437,N,Receipt Invoice automatically created on 10-NOV-08,,45 Net (terms date + 45),10003,10-Nov-15,10-Nov-15,USD,10-Nov-08,1,,79367.76,USD,79367.76,ERS,STANDARD,ERS,N,,STANDARD,10/11/15 0:00
