PTS,5814911,703,4802,,6196,,,,,,24-Feb-09,2984,25-Feb-09,25-Feb-16,
PURCHASE_ORDER_RECEIPTS,5814912,355,4974,,6197,,,,,,25-Feb-09,2985,25-Feb-09,25-Feb-16,
PURCHASE_ORDER_RECEIPTS,5810840,478,2462,,10547,,,,,,18-Feb-09,1314,18-Feb-09,18-Feb-16,
PURCHASE_ORDER_RECEIPTS,5810841,537,1521,,10548,,,,,,18-Feb-09,1314,18-Feb-09,18-Feb-16,
PURCHASE_ORDER_RECEIPTS,5810844,703,6644,,193,23684,,,,,18-Feb-09,27627,18-Feb-09,18-Feb-16,
PURCHASE_ORDER_RECEIPTS,5810845,703,6646,,189,23685,,,,,18-Feb-09,27627,18-Feb-09,18-Feb-16,
PURCHASE_ORDER_RECEIPTS,5811817,22,2221,,13680,532,,,,,20-Feb-09,1715,19-Feb-09,19-Feb-16,
PURCHASE_ORDER_RECEIPTS,5811818,22,2228,,12053,,,,,,19-Feb-09,384,19-Feb-09,19-Feb-16,
PURCHASE_ORDER_RECEIPTS,5811820,22,2221,,13681,532,,,,,17-Feb-09,1715,19-Feb-09,19-Feb-16,
PURCHASE_ORDER_RECEIPTS,5811821,3,2225,,13682,532,,,,,17-Feb-09,1715,19-Feb-09,19-Feb-16,
PURCHASE_ORDER_RECEIPTS,5811822,22,2221,,13683,532,,,,,20-Feb-09,1715,19-Feb-09,19-Feb-16,
PURCHASE_ORDER_RECEIPTS,5811844,22,2221,,13687,532,,,,,20-Feb-09,1715,20-Feb-09,20-Feb-16,
PURCHASE_ORDER_RECEIPTS,5811846,2,2233,,12056,,,,,,20-Feb-09,384,20-Feb-09,20-Feb-16,
PURCHASE_ORDER_RECEIPTS,5811849,22,2228,,12057,,,,,,18-Feb-09,384,20-Feb-09,20-Feb-16,
PURCHASE_ORDER_RECEIPTS,5812836,22,415,,11831,535,,,,,25-Feb-09,1313,23-Feb-09,23-Feb-16,
PURCHASE_ORDER_RECEIPTS,5812841,22,415,,11834,535,,,,,19-Feb-09,1313,23-Feb-09,23-Feb-16,
PURCHASE_ORDER_RECEIPTS,5812844,334,2328,,12062,,,,,,23-Feb-09,384,23-Feb-09,23-Feb-16,
PURCHASE_ORDER_RECEIPTS,5812850,22,2236,,10604,,,,,,18-Feb-09,4758,23-Feb-09,23-Feb-16,
PURCHASE_ORDER_RECEIPTS,5812851,22,2236,,10605,,,,,,18-Feb-09,4758,23-Feb-09,23-Feb-16,
PURCHASE_ORDER_RECEIPTS,5812857,2,391,,10551,,,,,,23-Feb-09,1783,23-Feb-09,23-Feb-16,
PURCHASE_ORDER_RECEIPTS,5812868,22,2698,,6021,,,,,,24-Feb-09,1850,23-Feb-09,23-Feb-16,
PURCHASE_ORDER_RECEIPTS,5814836,5,2037,,11836,535,,,,,18-Feb-09,1313,24-Feb-09,24-Feb-16,
PURCHASE_ORDER_RECEIPTS,5814837,22,415,,11837,535,,,,,19-Feb-09,1313,24-Feb-09,24-Feb-16,
PURCHASE_ORDER_RECEIPTS,5814851,2,1866,,10612,,,,,,24-Feb-09,4758,24-Feb-09,24-Feb-16,
PURCHASE_ORDER_RECEIPTS,5814857,22,2199,,10557,,,,,,20-Feb-09,1783,24-Feb-09,24-Feb-16,
PURCHASE_ORDER_RECEIPTS,5814858,2,391,,10558,,,,,,25-Feb-09,1783,24-Feb-09,24-Feb-16,
PURCHASE_ORDER_RECEIPTS,5814860,537,1521,,10560,,,,,,24-Feb-09,1314,24-Feb-09,24-Feb-16,
PURCHASE_ORDER_RECEIPTS,5814894,22,2236,,10616,,,,,,22-Feb-09,4758,25-Feb-09,25-Feb-16,
